city,country,id,lat,lng,temp,humidity,clouds,wind_speed
Fortuna,US,5563839,40.6,-124.16,52.36,87,90,16.11
Goderich,CA,5962442,43.75,-81.72,33.15,94,100,1.01
Pag,HR,3193726,44.45,15.06,32.0,58,0,5.82
Vao,NC,2137773,-22.67,167.48,77.25,80,86,21.63
Samarai,PG,2132606,-10.62,150.67,78.6,87,92,2.15
Alyangula,AU,2079582,-13.85,136.42,87.8,70,100,10.29
Mvomero,TZ,152403,-6.25,38.67,82.4,83,75,11.41
Buala,SB,2109528,-8.14,159.59,81.64,75,0,4.36
Keffi,NG,2334652,8.85,7.87,68.0,42,55,4.7
Henties Bay,NA,3356832,-22.12,14.28,64.0,96,0,6.06
Oyten,DE,2855794,53.05,9.02,31.66,86,90,5.82
Dryden,CA,5942913,49.78,-92.75,8.6,92,90,6.93
Bodden Town,KY,3580733,19.28,-81.25,73.99,67,47,8.99
Tanete,ID,1629965,-3.94,119.78,83.86,88,40,1.79
Cayeli,TR,749502,41.09,40.73,35.2,91,100,6.26
Savannah Bight,HN,3601402,16.45,-85.85,76.32,73,100,12.33
Padang,ID,1633419,-0.95,100.35,78.15,82,71,2.82
Gamba,GA,2400547,-2.65,10.0,85.5,70,24,2.77
Kailua,US,5847486,21.4,-157.74,69.12,69,1,5.82
Bell Ville,AR,3864331,-32.63,-62.69,68.0,91,58,5.99
